symptoms,disease
"I have sneezing, runny nose",Common Cold
"sneezing, runny nose, sore throat",Common Cold
"cough, mild fever, mild fever",Common Cold
"I'm feeling s and runny nose, sore throat",Common Cold
"sneezing, runny nose, sore throat",Common Cold
"I have sneezing, runny nose, sore throat",Common Cold
"sneezing, runny nose, sore throat",Common Cold
"Symptoms: cough, mild fever",Common Cold
"I'm feeling s and runny nose, sore throat",Common Cold
"Symptoms: sneezing, runny nose, sore throat",Common Cold
"Symptoms: sneezing, runny nose, sore throat, mild fever",Common Cold
"I'm feeling s and runny nose, sore throat",Common Cold
"I have cough, mild fever, congestion",Common Cold
"cough, mild fever, congestion",Common Cold
"I'm feeling s and runny nose, sore throat",Common Cold
"I have cough, mild fever, congestion",Common Cold
"I have cough, mild fever, congestion",Common Cold
"sneezing, runny nose, sore throat",Common Cold
"Symptoms: sneezing, runny nose, sore throat",Common Cold
"I'm feeling s and runny nose, sore throat",Common Cold
"Symptoms: sneezing, runny nose, sore throat",Common Cold
"I have cough, mild fever, congestion",Common Cold
"sneezing, runny nose, sore throat, fatigue",Common Cold
"I'm feeling s and runny nose, sore throat",Common Cold
"I'm feeling s and runny nose, sore throat",Common Cold
"cough, mild fever, congestion",Common Cold
"Symptoms: sneezing, runny nose, sore throat",Common Cold
I'm feeling c and mild fever,Common Cold
"Symptoms: sneezing, runny nose, sore throat",Common Cold
"I have sneezing, runny nose, sore throat, headache",Common Cold
"sneezing, runny nose, sore throat",Common Cold
"Symptoms: cough, mild fever, congestion, headache",Common Cold
"sneezing, runny nose",Common Cold
"I have sneezing, runny nose, sore throat",Common Cold
"I have sneezing, runny nose, sore throat",Common Cold
"I have cough, mild fever, congestion",Common Cold
"Symptoms: sneezing, runny nose, sore throat",Common Cold
"I have cough, mild fever, congestion",Common Cold
"I have sneezing, runny nose, mild fever",Common Cold
"I have sneezing, runny nose",Common Cold
"sneezing, runny nose, sore throat",Common Cold
"I have sneezing, runny nose, sore throat",Common Cold
"I'm feeling c and mild fever, congestion",Common Cold
"Symptoms: sneezing, runny nose",Common Cold
"cough, mild fever, congestion",Common Cold
"sneezing, runny nose",Common Cold
"I have sneezing, runny nose",Common Cold
"cough, mild fever",Common Cold
"cough, mild fever, congestion",Common Cold
"sneezing, runny nose, sore throat",Common Cold
"I have high fever, body ache, chills, fatigue",Influenza
"I'm feeling f and cough, headache, sore throat",Influenza
"Symptoms: high fever, body ache, chills, loss of appetite",Influenza
"I'm feeling f and cough, headache, sore throat",Influenza
"high fever, body ache, chills",Influenza
